district_id,district_name,year,month,week,cases
BC,Bình Chánh,2022,1,4,143
BT,Bình Tân,2022,1,4,96
BTH,Bình Thạnh,2022,1,4,57
CG,Cần Giờ,2022,1,4,13
CC,Củ Chi,2022,1,4,70
GV,Gò Vấp,2022,1,4,88
HM,Hóc Môn,2022,1,4,85
NB,Nhà Bè,2022,1,4,43
PN,Phú Nhuận,2022,1,4,11
Q1,Quận 1,2022,1,4,14
Q10,Quận 10,2022,1,4,23
Q11,Quận 11,2022,1,4,22
Q12,Quận 12,2022,1,4,66
Q3,Quận 3,2022,1,4,19
Q4,Quận 4,2022,1,4,18
Q5,Quận 5,2022,1,4,18
Q6,Quận 6,2022,1,4,28
Q7,Quận 7,2022,1,4,31
Q8,Quận 8,2022,1,4,47
TB,Tân Bình,2022,1,4,63
TP,Tân Phú,2022,1,4,63
TD,Thủ Đức,2022,1,4,167
BC,Bình Chánh,2022,1,5,143
BT,Bình Tân,2022,1,5,118
BTH,Bình Thạnh,2022,1,5,49
CG,Cần Giờ,2022,1,5,9
CC,Củ Chi,2022,1,5,82
GV,Gò Vấp,2022,1,5,93
HM,Hóc Môn,2022,1,5,82
NB,Nhà Bè,2022,1,5,26
PN,Phú Nhuận,2022,1,5,11
Q1,Quận 1,2022,1,5,19
Q10,Quận 10,2022,1,5,26
Q11,Quận 11,2022,1,5,21
Q12,Quận 12,2022,1,5,74
Q3,Quận 3,2022,1,5,17
Q4,Quận 4,2022,1,5,15
Q5,Quận 5,2022,1,5,24
Q6,Quận 6,2022,1,5,27
Q7,Quận 7,2022,1,5,33
Q8,Quận 8,2022,1,5,56
TB,Tân Bình,2022,1,5,64
TP,Tân Phú,2022,1,5,55
TD,Thủ Đức,2022,1,5,188
BC,Bình Chánh,2022,2,6,139
BT,Bình Tân,2022,2,6,124
BTH,Bình Thạnh,2022,2,6,66
CG,Cần Giờ,2022,2,6,17
CC,Củ Chi,2022,2,6,67
GV,Gò Vấp,2022,2,6,87
HM,Hóc Môn,2022,2,6,79
NB,Nhà Bè,2022,2,6,28
PN,Phú Nhuận,2022,2,6,17
Q1,Quận 1,2022,2,6,12
Q10,Quận 10,2022,2,6,23
Q11,Quận 11,2022,2,6,24
Q12,Quận 12,2022,2,6,61
Q3,Quận 3,2022,2,6,14
Q4,Quận 4,2022,2,6,21
Q5,Quận 5,2022,2,6,20
Q6,Quận 6,2022,2,6,25
Q7,Quận 7,2022,2,6,48
Q8,Quận 8,2022,2,6,45
TB,Tân Bình,2022,2,6,51
TP,Tân Phú,2022,2,6,59
TD,Thủ Đức,2022,2,6,181
BC,Bình Chánh,2022,2,7,167
BT,Bình Tân,2022,2,7,116
BTH,Bình Thạnh,2022,2,7,60
CG,Cần Giờ,2022,2,7,10
CC,Củ Chi,2022,2,7,51
GV,Gò Vấp,2022,2,7,96
HM,Hóc Môn,2022,2,7,80
NB,Nhà Bè,2022,2,7,32
PN,Phú Nhuận,2022,2,7,9
Q1,Quận 1,2022,2,7,16
Q10,Quận 10,2022,2,7,21
Q11,Quận 11,2022,2,7,20
Q12,Quận 12,2022,2,7,81
Q3,Quận 3,2022,2,7,15
Q4,Quận 4,2022,2,7,12
Q5,Quận 5,2022,2,7,24
Q6,Quận 6,2022,2,7,25
Q7,Quận 7,2022,2,7,40
Q8,Quận 8,2022,2,7,61
TB,Tân Bình,2022,2,7,52
TP,Tân Phú,2022,2,7,47
TD,Thủ Đức,2022,2,7,155
BC,Bình Chánh,2022,2,8,118
BT,Bình Tân,2022,2,8,127
BTH,Bình Thạnh,2022,2,8,70
CG,Cần Giờ,2022,2,8,7
CC,Củ Chi,2022,2,8,74
GV,Gò Vấp,2022,2,8,92
HM,Hóc Môn,2022,2,8,75
NB,Nhà Bè,2022,2,8,37
PN,Phú Nhuận,2022,2,8,12
Q1,Quận 1,2022,2,8,16
Q10,Quận 10,2022,2,8,25
Q11,Quận 11,2022,2,8,26
Q12,Quận 12,2022,2,8,68
Q3,Quận 3,2022,2,8,13
Q4,Quận 4,2022,2,8,18
Q5,Quận 5,2022,2,8,15
Q6,Quận 6,2022,2,8,35
Q7,Quận 7,2022,2,8,38
Q8,Quận 8,2022,2,8,63
TB,Tân Bình,2022,2,8,63
TP,Tân Phú,2022,2,8,54
TD,Thủ Đức,2022,2,8,184
BC,Bình Chánh,2022,2,9,152
BT,Bình Tân,2022,2,9,98
BTH,Bình Thạnh,2022,2,9,46
CG,Cần Giờ,2022,2,9,11
CC,Củ Chi,2022,2,9,67
GV,Gò Vấp,2022,2,9,75
HM,Hóc Môn,2022,2,9,85
NB,Nhà Bè,2022,2,9,23
PN,Phú Nhuận,2022,2,9,7
Q1,Quận 1,2022,2,9,20
Q10,Quận 10,2022,2,9,18
Q11,Quận 11,2022,2,9,20
Q12,Quận 12,2022,2,9,89
Q3,Quận 3,2022,2,9,12
Q4,Quận 4,2022,2,9,14
Q5,Quận 5,2022,2,9,8
Q6,Quận 6,2022,2,9,19
Q7,Quận 7,2022,2,9,46
Q8,Quận 8,2022,2,9,66
TB,Tân Bình,2022,2,9,56
TP,Tân Phú,2022,2,9,45
TD,Thủ Đức,2022,2,9,183
BC,Bình Chánh,2022,3,10,141
BT,Bình Tân,2022,3,10,119
BTH,Bình Thạnh,2022,3,10,44
CG,Cần Giờ,2022,3,10,11
CC,Củ Chi,2022,3,10,66
GV,Gò Vấp,2022,3,10,86
HM,Hóc Môn,2022,3,10,84
NB,Nhà Bè,2022,3,10,36
PN,Phú Nhuận,2022,3,10,11
Q1,Quận 1,2022,3,10,20
Q10,Quận 10,2022,3,10,29
Q11,Quận 11,2022,3,10,24
Q12,Quận 12,2022,3,10,99
Q3,Quận 3,2022,3,10,5
Q4,Quận 4,2022,3,10,19
Q5,Quận 5,2022,3,10,18
Q6,Quận 6,2022,3,10,33
Q7,Quận 7,2022,3,10,40
Q8,Quận 8,2022,3,10,56
TB,Tân Bình,2022,3,10,60
TP,Tân Phú,2022,3,10,78
TD,Thủ Đức,2022,3,10,168
BC,Bình Chánh,2022,3,11,148
BT,Bình Tân,2022,3,11,102
BTH,Bình Thạnh,2022,3,11,64
CG,Cần Giờ,2022,3,11,12
CC,Củ Chi,2022,3,11,74
GV,Gò Vấp,2022,3,11,100
HM,Hóc Môn,2022,3,11,71
NB,Nhà Bè,2022,3,11,38
PN,Phú Nhuận,2022,3,11,16
Q1,Quận 1,2022,3,11,13
Q10,Quận 10,2022,3,11,18
Q11,Quận 11,2022,3,11,21
Q12,Quận 12,2022,3,11,97
Q3,Quận 3,2022,3,11,14
Q4,Quận 4,2022,3,11,20
Q5,Quận 5,2022,3,11,12
Q6,Quận 6,2022,3,11,27
Q7,Quận 7,2022,3,11,42
Q8,Quận 8,2022,3,11,51
TB,Tân Bình,2022,3,11,48
TP,Tân Phú,2022,3,11,50
TD,Thủ Đức,2022,3,11,164
BC,Bình Chánh,2022,3,12,133
BT,Bình Tân,2022,3,12,136
BTH,Bình Thạnh,2022,3,12,68
CG,Cần Giờ,2022,3,12,9
CC,Củ Chi,2022,3,12,64
GV,Gò Vấp,2022,3,12,79
HM,Hóc Môn,2022,3,12,71
NB,Nhà Bè,2022,3,12,28
PN,Phú Nhuận,2022,3,12,14
Q1,Quận 1,2022,3,12,20
Q10,Quận 10,2022,3,12,11
Q11,Quận 11,2022,3,12,18
Q12,Quận 12,2022,3,12,81
Q3,Quận 3,2022,3,12,15
Q4,Quận 4,2022,3,12,21
Q5,Quận 5,2022,3,12,17
Q6,Quận 6,2022,3,12,20
Q7,Quận 7,2022,3,12,43
Q8,Quận 8,2022,3,12,44
TB,Tân Bình,2022,3,12,55
TP,Tân Phú,2022,3,12,63
TD,Thủ Đức,2022,3,12,196
BC,Bình Chánh,2022,3,13,127
BT,Bình Tân,2022,3,13,124
BTH,Bình Thạnh,2022,3,13,63
CG,Cần Giờ,2022,3,13,10
CC,Củ Chi,2022,3,13,78
GV,Gò Vấp,2022,3,13,93
HM,Hóc Môn,2022,3,13,71
NB,Nhà Bè,2022,3,13,29
PN,Phú Nhuận,2022,3,13,10
Q1,Quận 1,2022,3,13,11
Q10,Quận 10,2022,3,13,14
Q11,Quận 11,2022,3,13,28
Q12,Quận 12,2022,3,13,75
Q3,Quận 3,2022,3,13,21
Q4,Quận 4,2022,3,13,23
Q5,Quận 5,2022,3,13,21
Q6,Quận 6,2022,3,13,25
Q7,Quận 7,2022,3,13,44
Q8,Quận 8,2022,3,13,40
TB,Tân Bình,2022,3,13,58
TP,Tân Phú,2022,3,13,53
TD,Thủ Đức,2022,3,13,187
BC,Bình Chánh,2022,4,14,144
BT,Bình Tân,2022,4,14,117
BTH,Bình Thạnh,2022,4,14,60
CG,Cần Giờ,2022,4,14,16
CC,Củ Chi,2022,4,14,75
GV,Gò Vấp,2022,4,14,87
HM,Hóc Môn,2022,4,14,74
NB,Nhà Bè,2022,4,14,46
PN,Phú Nhuận,2022,4,14,15
Q1,Quận 1,2022,4,14,15
Q10,Quận 10,2022,4,14,23
Q11,Quận 11,2022,4,14,22
Q12,Quận 12,2022,4,14,84
Q3,Quận 3,2022,4,14,13
Q4,Quận 4,2022,4,14,21
Q5,Quận 5,2022,4,14,21
Q6,Quận 6,2022,4,14,24
Q7,Quận 7,2022,4,14,42
Q8,Quận 8,2022,4,14,62
TB,Tân Bình,2022,4,14,68
TP,Tân Phú,2022,4,14,53
TD,Thủ Đức,2022,4,14,194
BC,Bình Chánh,2022,4,15,171
BT,Bình Tân,2022,4,15,112
BTH,Bình Thạnh,2022,4,15,61
CG,Cần Giờ,2022,4,15,11
CC,Củ Chi,2022,4,15,65
GV,Gò Vấp,2022,4,15,102
HM,Hóc Môn,2022,4,15,80
NB,Nhà Bè,2022,4,15,39
PN,Phú Nhuận,2022,4,15,17
Q1,Quận 1,2022,4,15,16
Q10,Quận 10,2022,4,15,22
Q11,Quận 11,2022,4,15,24
Q12,Quận 12,2022,4,15,77
Q3,Quận 3,2022,4,15,14
Q4,Quận 4,2022,4,15,31
Q5,Quận 5,2022,4,15,20
Q6,Quận 6,2022,4,15,30
Q7,Quận 7,2022,4,15,43
Q8,Quận 8,2022,4,15,50
TB,Tân Bình,2022,4,15,77
TP,Tân Phú,2022,4,15,66
TD,Thủ Đức,2022,4,15,163
BC,Bình Chánh,2022,4,16,168
BT,Bình Tân,2022,4,16,123
BTH,Bình Thạnh,2022,4,16,70
CG,Cần Giờ,2022,4,16,11
CC,Củ Chi,2022,4,16,85
GV,Gò Vấp,2022,4,16,87
HM,Hóc Môn,2022,4,16,79
NB,Nhà Bè,2022,4,16,36
PN,Phú Nhuận,2022,4,16,21
Q1,Quận 1,2022,4,16,21
Q10,Quận 10,2022,4,16,16
Q11,Quận 11,2022,4,16,25
Q12,Quận 12,2022,4,16,72
Q3,Quận 3,2022,4,16,11
Q4,Quận 4,2022,4,16,24
Q5,Quận 5,2022,4,16,22
Q6,Quận 6,2022,4,16,30
Q7,Quận 7,2022,4,16,44
Q8,Quận 8,2022,4,16,44
TB,Tân Bình,2022,4,16,64
TP,Tân Phú,2022,4,16,69
TD,Thủ Đức,2022,4,16,206
BC,Bình Chánh,2022,4,17,149
BT,Bình Tân,2022,4,17,142
BTH,Bình Thạnh,2022,4,17,75
CG,Cần Giờ,2022,4,17,8
CC,Củ Chi,2022,4,17,87
GV,Gò Vấp,2022,4,17,108
HM,Hóc Môn,2022,4,17,97
NB,Nhà Bè,2022,4,17,33
PN,Phú Nhuận,2022,4,17,11
Q1,Quận 1,2022,4,17,15
Q10,Quận 10,2022,4,17,21
Q11,Quận 11,2022,4,17,31
Q12,Quận 12,2022,4,17,85
Q3,Quận 3,2022,4,17,16
Q4,Quận 4,2022,4,17,25
Q5,Quận 5,2022,4,17,19
Q6,Quận 6,2022,4,17,27
Q7,Quận 7,2022,4,17,53
Q8,Quận 8,2022,4,17,63
TB,Tân Bình,2022,4,17,81
TP,Tân Phú,2022,4,17,66
TD,Thủ Đức,2022,4,17,192
BC,Bình Chánh,2022,4,18,169
BT,Bình Tân,2022,4,18,120
BTH,Bình Thạnh,2022,4,18,63
CG,Cần Giờ,2022,4,18,9
CC,Củ Chi,2022,4,18,77
GV,Gò Vấp,2022,4,18,105
HM,Hóc Môn,2022,4,18,86
NB,Nhà Bè,2022,4,18,46
PN,Phú Nhuận,2022,4,18,17
Q1,Quận 1,2022,4,18,20
Q10,Quận 10,2022,4,18,23
Q11,Quận 11,2022,4,18,20
Q12,Quận 12,2022,4,18,79
Q3,Quận 3,2022,4,18,12
Q4,Quận 4,2022,4,18,21
Q5,Quận 5,2022,4,18,22
Q6,Quận 6,2022,4,18,32
Q7,Quận 7,2022,4,18,53
Q8,Quận 8,2022,4,18,57
TB,Tân Bình,2022,4,18,71
TP,Tân Phú,2022,4,18,65
TD,Thủ Đức,2022,4,18,187
BC,Bình Chánh,2022,5,19,178
BT,Bình Tân,2022,5,19,146
BTH,Bình Thạnh,2022,5,19,68
CG,Cần Giờ,2022,5,19,18
CC,Củ Chi,2022,5,19,79
GV,Gò Vấp,2022,5,19,99
HM,Hóc Môn,2022,5,19,115
NB,Nhà Bè,2022,5,19,53
PN,Phú Nhuận,2022,5,19,12
Q1,Quận 1,2022,5,19,26
Q10,Quận 10,2022,5,19,19
Q11,Quận 11,2022,5,19,37
Q12,Quận 12,2022,5,19,88
Q3,Quận 3,2022,5,19,23
Q4,Quận 4,2022,5,19,28
Q5,Quận 5,2022,5,19,29
Q6,Quận 6,2022,5,19,29
Q7,Quận 7,2022,5,19,44
Q8,Quận 8,2022,5,19,44
TB,Tân Bình,2022,5,19,69
TP,Tân Phú,2022,5,19,55
TD,Thủ Đức,2022,5,19,216
BC,Bình Chánh,2022,5,20,168
BT,Bình Tân,2022,5,20,160
BTH,Bình Thạnh,2022,5,20,70
CG,Cần Giờ,2022,5,20,20
CC,Củ Chi,2022,5,20,101
GV,Gò Vấp,2022,5,20,127
HM,Hóc Môn,2022,5,20,110
NB,Nhà Bè,2022,5,20,40
PN,Phú Nhuận,2022,5,20,20
Q1,Quận 1,2022,5,20,21
Q10,Quận 10,2022,5,20,20
Q11,Quận 11,2022,5,20,25
Q12,Quận 12,2022,5,20,95
Q3,Quận 3,2022,5,20,7
Q4,Quận 4,2022,5,20,24
Q5,Quận 5,2022,5,20,24
Q6,Quận 6,2022,5,20,32
Q7,Quận 7,2022,5,20,67
Q8,Quận 8,2022,5,20,61
TB,Tân Bình,2022,5,20,93
TP,Tân Phú,2022,5,20,76
TD,Thủ Đức,2022,5,20,208
BC,Bình Chánh,2022,5,21,169
BT,Bình Tân,2022,5,21,159
BTH,Bình Thạnh,2022,5,21,77
CG,Cần Giờ,2022,5,21,18
CC,Củ Chi,2022,5,21,101
GV,Gò Vấp,2022,5,21,101
HM,Hóc Môn,2022,5,21,107
NB,Nhà Bè,2022,5,21,37
PN,Phú Nhuận,2022,5,21,22
Q1,Quận 1,2022,5,21,25
Q10,Quận 10,2022,5,21,16
Q11,Quận 11,2022,5,21,26
Q12,Quận 12,2022,5,21,112
Q3,Quận 3,2022,5,21,10
Q4,Quận 4,2022,5,21,29
Q5,Quận 5,2022,5,21,26
Q6,Quận 6,2022,5,21,34
Q7,Quận 7,2022,5,21,61
Q8,Quận 8,2022,5,21,65
TB,Tân Bình,2022,5,21,72
TP,Tân Phú,2022,5,21,84
TD,Thủ Đức,2022,5,21,246
BC,Bình Chánh,2022,5,22,196
BT,Bình Tân,2022,5,22,161
BTH,Bình Thạnh,2022,5,22,86
CG,Cần Giờ,2022,5,22,21
CC,Củ Chi,2022,5,22,105
GV,Gò Vấp,2022,5,22,109
HM,Hóc Môn,2022,5,22,96
NB,Nhà Bè,2022,5,22,51
PN,Phú Nhuận,2022,5,22,19
Q1,Quận 1,2022,5,22,26
Q10,Quận 10,2022,5,22,30
Q11,Quận 11,2022,5,22,34
Q12,Quận 12,2022,5,22,136
Q3,Quận 3,2022,5,22,20
Q4,Quận 4,2022,5,22,24
Q5,Quận 5,2022,5,22,13
Q6,Quận 6,2022,5,22,33
Q7,Quận 7,2022,5,22,61
Q8,Quận 8,2022,5,22,69
TB,Tân Bình,2022,5,22,80
TP,Tân Phú,2022,5,22,84
TD,Thủ Đức,2022,5,22,233
BC,Bình Chánh,2022,6,23,178
BT,Bình Tân,2022,6,23,166
BTH,Bình Thạnh,2022,6,23,70
CG,Cần Giờ,2022,6,23,18
CC,Củ Chi,2022,6,23,120
GV,Gò Vấp,2022,6,23,116
HM,Hóc Môn,2022,6,23,110
NB,Nhà Bè,2022,6,23,43
PN,Phú Nhuận,2022,6,23,25
Q1,Quận 1,2022,6,23,20
Q10,Quận 10,2022,6,23,29
Q11,Quận 11,2022,6,23,38
Q12,Quận 12,2022,6,23,144
Q3,Quận 3,2022,6,23,22
Q4,Quận 4,2022,6,23,21
Q5,Quận 5,2022,6,23,31
Q6,Quận 6,2022,6,23,42
Q7,Quận 7,2022,6,23,46
Q8,Quận 8,2022,6,23,70
TB,Tân Bình,2022,6,23,75
TP,Tân Phú,2022,6,23,64
TD,Thủ Đức,2022,6,23,234
BC,Bình Chánh,2022,6,24,193
BT,Bình Tân,2022,6,24,161
BTH,Bình Thạnh,2022,6,24,91
CG,Cần Giờ,2022,6,24,19
CC,Củ Chi,2022,6,24,110
GV,Gò Vấp,2022,6,24,122
HM,Hóc Môn,2022,6,24,103
NB,Nhà Bè,2022,6,24,49
PN,Phú Nhuận,2022,6,24,20
Q1,Quận 1,2022,6,24,23
Q10,Quận 10,2022,6,24,19
Q11,Quận 11,2022,6,24,16
Q12,Quận 12,2022,6,24,113
Q3,Quận 3,2022,6,24,20
Q4,Quận 4,2022,6,24,35
Q5,Quận 5,2022,6,24,18
Q6,Quận 6,2022,6,24,40
Q7,Quận 7,2022,6,24,42
Q8,Quận 8,2022,6,24,73
TB,Tân Bình,2022,6,24,93
TP,Tân Phú,2022,6,24,80
TD,Thủ Đức,2022,6,24,226
BC,Bình Chánh,2022,6,25,210
BT,Bình Tân,2022,6,25,169
BTH,Bình Thạnh,2022,6,25,92
CG,Cần Giờ,2022,6,25,10
CC,Củ Chi,2022,6,25,97
GV,Gò Vấp,2022,6,25,142
HM,Hóc Môn,2022,6,25,109
NB,Nhà Bè,2022,6,25,51
PN,Phú Nhuận,2022,6,25,20
Q1,Quận 1,2022,6,25,21
Q10,Quận 10,2022,6,25,19
Q11,Quận 11,2022,6,25,28
Q12,Quận 12,2022,6,25,134
Q3,Quận 3,2022,6,25,23
Q4,Quận 4,2022,6,25,28
Q5,Quận 5,2022,6,25,30
Q6,Quận 6,2022,6,25,38
Q7,Quận 7,2022,6,25,61
Q8,Quận 8,2022,6,25,83
TB,Tân Bình,2022,6,25,83
TP,Tân Phú,2022,6,25,103
TD,Thủ Đức,2022,6,25,268
BC,Bình Chánh,2022,6,26,225
BT,Bình Tân,2022,6,26,162
BTH,Bình Thạnh,2022,6,26,126
CG,Cần Giờ,2022,6,26,23
CC,Củ Chi,2022,6,26,100
GV,Gò Vấp,2022,6,26,129
HM,Hóc Môn,2022,6,26,120
NB,Nhà Bè,2022,6,26,42
PN,Phú Nhuận,2022,6,26,34
Q1,Quận 1,2022,6,26,30
Q10,Quận 10,2022,6,26,34
Q11,Quận 11,2022,6,26,29
Q12,Quận 12,2022,6,26,112
Q3,Quận 3,2022,6,26,18
Q4,Quận 4,2022,6,26,30
Q5,Quận 5,2022,6,26,27
Q6,Quận 6,2022,6,26,33
Q7,Quận 7,2022,6,26,67
Q8,Quận 8,2022,6,26,82
TB,Tân Bình,2022,6,26,95
TP,Tân Phú,2022,6,26,81
TD,Thủ Đức,2022,6,26,260
BC,Bình Chánh,2022,7,27,223
BT,Bình Tân,2022,7,27,147
BTH,Bình Thạnh,2022,7,27,97
CG,Cần Giờ,2022,7,27,16
CC,Củ Chi,2022,7,27,85
GV,Gò Vấp,2022,7,27,140
HM,Hóc Môn,2022,7,27,127
NB,Nhà Bè,2022,7,27,51
PN,Phú Nhuận,2022,7,27,15
Q1,Quận 1,2022,7,27,25
Q10,Quận 10,2022,7,27,25
Q11,Quận 11,2022,7,27,53
Q12,Quận 12,2022,7,27,134
Q3,Quận 3,2022,7,27,27
Q4,Quận 4,2022,7,27,36
Q5,Quận 5,2022,7,27,36
Q6,Quận 6,2022,7,27,42
Q7,Quận 7,2022,7,27,76
Q8,Quận 8,2022,7,27,80
TB,Tân Bình,2022,7,27,87
TP,Tân Phú,2022,7,27,90
TD,Thủ Đức,2022,7,27,255
BC,Bình Chánh,2022,7,28,248
BT,Bình Tân,2022,7,28,190
BTH,Bình Thạnh,2022,7,28,114
CG,Cần Giờ,2022,7,28,17
CC,Củ Chi,2022,7,28,126
GV,Gò Vấp,2022,7,28,150
HM,Hóc Môn,2022,7,28,144
NB,Nhà Bè,2022,7,28,54
PN,Phú Nhuận,2022,7,28,19
Q1,Quận 1,2022,7,28,27
Q10,Quận 10,2022,7,28,29
Q11,Quận 11,2022,7,28,31
Q12,Quận 12,2022,7,28,122
Q3,Quận 3,2022,7,28,23
Q4,Quận 4,2022,7,28,36
Q5,Quận 5,2022,7,28,24
Q6,Quận 6,2022,7,28,44
Q7,Quận 7,2022,7,28,64
Q8,Quận 8,2022,7,28,79
TB,Tân Bình,2022,7,28,102
TP,Tân Phú,2022,7,28,106
TD,Thủ Đức,2022,7,28,329
BC,Bình Chánh,2022,7,29,219
BT,Bình Tân,2022,7,29,198
BTH,Bình Thạnh,2022,7,29,99
CG,Cần Giờ,2022,7,29,19
CC,Củ Chi,2022,7,29,111
GV,Gò Vấp,2022,7,29,155
HM,Hóc Môn,2022,7,29,129
NB,Nhà Bè,2022,7,29,59
PN,Phú Nhuận,2022,7,29,21
Q1,Quận 1,2022,7,29,24
Q10,Quận 10,2022,7,29,26
Q11,Quận 11,2022,7,29,41
Q12,Quận 12,2022,7,29,138
Q3,Quận 3,2022,7,29,27
Q4,Quận 4,2022,7,29,48
Q5,Quận 5,2022,7,29,23
Q6,Quận 6,2022,7,29,47
Q7,Quận 7,2022,7,29,65
Q8,Quận 8,2022,7,29,87
TB,Tân Bình,2022,7,29,112
TP,Tân Phú,2022,7,29,104
TD,Thủ Đức,2022,7,29,302
BC,Bình Chánh,2022,7,30,244
BT,Bình Tân,2022,7,30,207
BTH,Bình Thạnh,2022,7,30,97
CG,Cần Giờ,2022,7,30,22
CC,Củ Chi,2022,7,30,112
GV,Gò Vấp,2022,7,30,150
HM,Hóc Môn,2022,7,30,146
NB,Nhà Bè,2022,7,30,54
PN,Phú Nhuận,2022,7,30,16
Q1,Quận 1,2022,7,30,34
Q10,Quận 10,2022,7,30,29
Q11,Quận 11,2022,7,30,28
Q12,Quận 12,2022,7,30,127
Q3,Quận 3,2022,7,30,18
Q4,Quận 4,2022,7,30,24
Q5,Quận 5,2022,7,30,18
Q6,Quận 6,2022,7,30,40
Q7,Quận 7,2022,7,30,82
Q8,Quận 8,2022,7,30,82
TB,Tân Bình,2022,7,30,98
TP,Tân Phú,2022,7,30,103
TD,Thủ Đức,2022,7,30,301
BC,Bình Chánh,2022,7,31,247
BT,Bình Tân,2022,7,31,186
BTH,Bình Thạnh,2022,7,31,98
CG,Cần Giờ,2022,7,31,13
CC,Củ Chi,2022,7,31,132
GV,Gò Vấp,2022,7,31,155
HM,Hóc Môn,2022,7,31,163
NB,Nhà Bè,2022,7,31,54
PN,Phú Nhuận,2022,7,31,24
Q1,Quận 1,2022,7,31,31
Q10,Quận 10,2022,7,31,24
Q11,Quận 11,2022,7,31,44
Q12,Quận 12,2022,7,31,109
Q3,Quận 3,2022,7,31,20
Q4,Quận 4,2022,7,31,37
Q5,Quận 5,2022,7,31,27
Q6,Quận 6,2022,7,31,48
Q7,Quận 7,2022,7,31,87
Q8,Quận 8,2022,7,31,70
TB,Tân Bình,2022,7,31,102
TP,Tân Phú,2022,7,31,116
TD,Thủ Đức,2022,7,31,325
BC,Bình Chánh,2022,8,32,221
BT,Bình Tân,2022,8,32,189
BTH,Bình Thạnh,2022,8,32,114
CG,Cần Giờ,2022,8,32,15
CC,Củ Chi,2022,8,32,145
GV,Gò Vấp,2022,8,32,155
HM,Hóc Môn,2022,8,32,131
NB,Nhà Bè,2022,8,32,55
PN,Phú Nhuận,2022,8,32,22
Q1,Quận 1,2022,8,32,46
Q10,Quận 10,2022,8,32,50
Q11,Quận 11,2022,8,32,36
Q12,Quận 12,2022,8,32,142
Q3,Quận 3,2022,8,32,26
Q4,Quận 4,2022,8,32,39
Q5,Quận 5,2022,8,32,22
Q6,Quận 6,2022,8,32,53
Q7,Quận 7,2022,8,32,63
Q8,Quận 8,2022,8,32,78
TB,Tân Bình,2022,8,32,113
TP,Tân Phú,2022,8,32,115
TD,Thủ Đức,2022,8,32,303
BC,Bình Chánh,2022,8,33,252
BT,Bình Tân,2022,8,33,188
BTH,Bình Thạnh,2022,8,33,109
CG,Cần Giờ,2022,8,33,19
CC,Củ Chi,2022,8,33,139
GV,Gò Vấp,2022,8,33,164
HM,Hóc Môn,2022,8,33,142
NB,Nhà Bè,2022,8,33,64
PN,Phú Nhuận,2022,8,33,24
Q1,Quận 1,2022,8,33,46
Q10,Quận 10,2022,8,33,26
Q11,Quận 11,2022,8,33,39
